id,field,current_structured,value_in_research_notes,category,snippet
X00468,birth,1774-?-?,1774-05-23,clean,b. May 23 1774 N
X00468,death,1864-?-?,1864-08-17,clean,; d. Aug 17 1864 N
HD1444,birth,1800-?-?,1800-12-10,clean,b. Dec 10 1800 N
HD1444,death,1851-?-?,1851-02-21,clean,; d. Feb 21 1851 a
HD1445,birth,1803-?-?,1803-04-21,clean,b. Apr 21 1803 N
HD1445,death,1883-?-?,1883-08-12,clean,; d. Aug 12 1883 N
HD1446,birth,1805-?-?,1805-09-01,clean,"b. Sep 1, 1805 N"
HD1447,birth,1808-?-?,1808-02-13,clean,b. Feb 13 1808 N
HD1447,death,1886-?-?,1886-05-04,clean,; d. May 4 1886 a
HD1448,birth,1811-?-?,1811-12-10,clean,b. Dec 10 1811 N
HD1448,death,1831-?-?,1831-07-27,clean,; d. Jul 27 1831 N
HD1449,birth,1814-?-?,1814-06-24,clean,b. Jun 24 1814 N
HD1449,death,1846-?-?,1846-12-19,clean,; d. Dec 19 1846 S
HD1450,birth,1818-?-?,1818-03-05,clean,"b. Mar 5, 1818 N"
HD1450,death,1855-?-?,1855-07-31,clean,"; d. Jul 31, 1855 N"
X00469,birth,1738-?-?,1738-05-13,clean,b. May 13 1738 N
X00469,death,1794-?-?,1794-09-10,clean,; d. Sep 10 1794 N
H00882,birth,1766-?-?,1766-09-04,clean,"b. Sep 4, 1766 N"
H00882,death,1821-?-?,1821-02-02,clean,"; d. Feb 2, 1821 N"
H00883,death,1865-?-?,1865-02-23,clean,"; d. Feb 23, 1865 N"
X00470,death,1841-?-?,1841-05-09,clean,; d. May 9 1841 N
HD1456,birth,1796-?-?,1796-09-24,clean,b. Sep 24 1796;
HD1456,death,1797-?-?,1797-06-15,clean,; d. Jun 15 1797.
HD1457,birth,1798-?-?,1798-12-15,clean,b. Dec 15 1798 N
HD1457,death,1878-?-?,1878-01-02,clean,; d. Jan 2 1878 a
HD1458,birth,1801-?-?,1801-02-23,clean,b. Feb 23 1801 N
HD1458,death,1852-?-?,1852-11-22,clean,; d. Nov 22 1852 a
HD1459,birth,1804-?-?,1804-02-14,clean,b. Feb 14 1804 N
HD1459,death,1874-?-?,1874-09-26,clean,; d. Sep 26 1874 N
HD1461,birth,1808-?-?,1808-01-21,clean,b. Jan 21 1808;
HD1461,death,1808-?-?,1808-12-26,clean,; d. Dec 26 1808.
HD1462,birth,1809-?-?,1809-12-25,clean,b. Dec 25 1809 N
HD1462,death,1848-?-?,1848-08-26,clean,; d. Aug 26 1848 a
HD1464,death,1870-?-?,1870-04-08,clean,; d. Apr 8 1870 N
X00471,birth,1782-?-?,1782-08-03,clean,b. Aug 3 1782;
X00471,death,1834-?-?,1834-05-16,clean,; d. May 16 1834 N
X00472,death,1842-?-?,1842-03-28,clean,; d. Mar 28 1842 N
HD1465,birth,1799-?-?,1799-10-08,clean,b. Oct 8 1799 N
HD1466,birth,1802-?-?,1802-05-01,clean,b. May 1 1802;
HD1466,death,1802-?-?,1802-07-25,clean,; d. Jul 25 1802.
HD1468,birth,1813-?-?,1813-03-31,clean,b. Mar 31 1813 N
HD1468,death,1894-?-?,1894-01-02,clean,; d. Jan 2 1894 W
HD1469,birth,1819-?-?,1819-09-11,clean,b. Sep 11 1819 N
HD1469,death,1890-?-?,1890-07-06,clean,; d. Jul 6 1890 W
X00473,birth,1826-?-?,1826-05-21,clean,b. May 21 1826;
X00473,death,1891-?-?,1891-07-10,clean,; d. Jul 10 1891.
HD1470,birth,1863-?-?,1863-04-30,clean,b. Apr 30 1863 N
HD1470,death,1949-?-?,1949-03-08,clean,; d. Mar 8 1949 W
HD1472,birth,1840-?-?,1840-03-01,clean,b. Mar 1 1840 N
HD1472,death,1852-?-?,1852-06-21,clean,; d. Jun 21 1852 N
HD1473,birth,1845-?-?,1845-12-01,clean,b. Dec 1 1845 N
HD1473,death,1940-?-?,1940-01-18,clean,; d. Jan 18 1940 a
HD1474,birth,1849-?-?,1849-10-31,clean,b. Oct 31 1849 N
HD1475,birth,1851-?-?,1851-12-04,clean,b. Dec 4 1851 N
HD1476,birth,1854-?-?,1854-07-26,clean,b. Jul 26 1854;
HD1476,death,1855-?-?,1855-03-20,clean,; d. Mar 20 1855.
HD1477,birth,1858-?-?,1858-10-19,clean,b. Oct 19 1858 N
HD1477,death,1936-?-?,1936-02-15,clean,; d. Feb 15 1936 S
X00475,birth,1862-?-?,1862-06-14,clean,b. Jun 14 1862 C
X00475,death,1944-?-?,1944-02-27,clean,; d. Feb 27 1944.
HD1478,birth,1885-?-?,1885-03-06,clean,b. Mar 6 1885 C
HD1478,death,1942-?-?,1942-11-15,clean,; d. Nov 15 1942 a
HD1479,birth,1887-?-?,1887-07-12,clean,b. Jul 12 1887 C
HD1479,death,1976-?-?,1976-02-17,clean,; d. Feb 17 1976 a
X00476,birth,1890-?-?,1890-07-28,clean,b. Jul 28 1890;
X00476,death,1976-?-?,1976-09-11,clean,; d. Sep 11 1976 a
HD1480,birth,1896-?-?,1896-12-01,clean,b. Dec 1 1896 C
HD1480,death,1977-?-?,1977-11-22,clean,; d. Nov 22 1977 a
X00477,death,1979-?-?,1979-11-12,clean,; d. Nov 12 1979 W
HD1481,birth,1900-?-?,1900-06-03,clean,b. Jun 3 1900 C
HD1481,death,1988-?-?,1988-06-06,clean,; d. Jun 6 1988 a
X00478,birth,1739-?-?,1739-06-30,clean,b. Jun 30 1739 N
X00478,death,1833-?-?,1833-07-19,clean,; d. Jul 19 1833 N
X00479,birth,1725-?-?,1725-08-11,clean,"b. Aug 11, 1725 N"
X00479,death,1815-?-?,1815-08-04,clean,"; d. Aug 4, 1815 N"
HD1482,birth,1756-?-?,1756-04-18,clean,"b. Apr 18, 1756 N"
HD1482,death,1766-?-?,1766-01-10,clean,"; d. Jan 10, 1766 N"
HD1483,birth,1758-?-?,1758-04-10,clean,"b. Apr 10, 1758 N"
HD1483,death,1788-?-?,1788-12-04,clean,"; d. Dec 4, 1788 N"
HD1484,birth,1760-?-?,1760-07-29,clean,"b. Jul 29, 1760 N"
HD1485,birth,1765-?-?,1765-04-19,clean,"b. Apr 19, 1765 N"
H00884,birth,1763-?-?,1763-01-19,clean,"b. Jan 19, 1763 N"
H00884,death,1847-?-?,1847-05-11,clean,". d. May 11, 1847 a"
H00885,birth,1766-?-?,1766-11-09,clean,"b. Nov 9, 1766 N"
H00886,birth,1769-?-?,1769-07-17,clean,"b. Jul 17, 1769 N"
H00886,death,1849-?-?,1849-09-22,clean,"; d. Sep 22, 1849 a"
H00887,birth,1771-?-?,1771-11-15,clean,"b. Nov 15, 1771 N"
H00888,birth,1774-?-?,1774-03-25,clean,"b. Mar 25, 1774 N"
H00890,birth,1780-?-?,1780-07-25,clean,"b. Jul 25, 1780 N"
X00480,birth,1744-?-?,1744-03-20,clean,b. Mar 20 1744 N
X00480,death,1832-?-?,1832-11-01,clean,; d. Nov 1 1832 N
HD1486,birth,1766-?-?,1766-12-01,clean,b. Dec 1 1766 N
HD1486,death,1841-?-?,1841-01-15,clean,; d. Jan 15 1841 N
H00897,birth,1768-?-?,1768-10-09,clean,b. Oct 9 1768 N
H00897,death,1815-?-?,1815-05-21,clean,; d. May 21 1815 N
HD1488,birth,1771-?-?,1771-10-27,clean,"b. Oct 27, 1771 N"
HD1488,death,1857-?-?,1857-11-11,clean,"; d. Nov 11, 1857 N"
HD1489,birth,1776-?-?,1776-02-24,clean,b. Feb 24 1776 N
HD1489,death,1807-?-?,1807-08-03,clean,; d. Aug 3 1807 N
H00898,birth,1779-?-?,1779-07-20,clean,"b. Jul 20, 1779;"
H00898,death,1802-?-?,1802-11-10,clean,"; d. Nov 10, 1802 N"
H00899,birth,1783-?-?,1783-05-31,clean,"b. May 31, 1783 N"
H00899,death,1842-?-?,1842-12-28,clean,"; d. Dec 28, 1842 N"
X00481,death,1814-?-?,1814-06-23,clean,"; d. Jun 23, 1814 N"
HD1493,birth,1810-?-?,1810-08-21,clean,b. Aug 21 1810 N
HD1493,death,1893-?-?,1893-06-14,clean,; d. Jun 14 1893 a
HD1494,birth,1816-?-?,1816-01-19,clean,"b. Jan 19, 1816;"
HD1494,death,1816-?-?,1816-03-19,clean,"; d. Mar 19, 1816."
HD1495,birth,1817-?-?,1817-02-25,clean,"b. Feb 25, 1817 N"
HD1495,death,1842-?-?,1842-11-30,clean,"; d. Nov 30, 1842 N"
HD1496,birth,1820-?-?,1820-04-06,clean,"b. Apr 6, 1820 N"
HD1497,birth,1822-?-?,1822-03-23,clean,"b. Mar 23, 1822 N"
HD1497,death,1851-?-?,1851-09-17,clean,"; d. Sep 17, 1851 a"
HD1498,birth,1824-?-?,1824-03-17,clean,"b. Mar 17, 1824 N"
HD1498,death,1853-?-?,1853-03-29,clean,"; d. Mar 29, 1853 a"
HD1499,birth,1826-?-?,1826-08-12,clean,"b. Aug 12, 1826 N"
HD1499,death,1843-?-?,1843-01-03,clean,"; d. Jan 3, 1843 N"
HD1500,birth,1828-?-?,1828-12-03,clean,"b. Dec 3, 1828 N"
HD1500,death,1902-?-?,1902-03-29,clean,"; d. Mar 29, 1902 O"
X00483,birth,1827-?-?,1827-08-01,clean,"b. Aug 1, 1827 B"
X00483,death,1902-?-?,1902-10-11,clean,"; d. Oct 11, 1902 G"
HD1501,birth,1847-?-?,1847-05-20,clean,"b. May 20, 1847 B"
HD1502,birth,1860-?-?,1860-06-30,clean,"b. Jun 30, 1860;"
HD1502,death,1885-?-?,1885-04-16,clean,"; d. Apr 16, 1885 R"
X00484,death,1840-?-?,1840-11-21,clean,"; d. Nov 21, 1840 H"
HD1503,birth,1800-?-?,1800-10-21,clean,"b. Oct 21, 1800 N"
HD1503,death,1800-?-?,1800-11-11,clean,"; d. Nov 11, 1800 N"
HD1507,birth,1802-?-?,1802-03-09,clean,"b. Mar 9, 1802 N"
HD1507,death,1862-?-?,1862-08-22,clean,"; d. Aug 22, 1862 H"
HD1508,birth,1803-?-?,1803-12-01,clean,"b. Dec 1, 1803 N"
HD1508,death,1884-?-?,1884-08-21,clean,"; d. Aug 21, 1884 N"
HD1509,death,1813-?-?,1813-08-29,clean,"; d. Aug 29, 1813 a"
X00485,birth,1779-?-?,1779-11-16,clean,"b. Nov 16, 1779 N"
X00485,death,1855-?-?,1855-12-16,clean,"; d. Dec 16, 1855."
HD1516,birth,1818-?-?,1818-02-20,clean,"b. Feb 20, 1818;"
HD1517,birth,1814-?-?,1814-08-05,clean,"b. Aug 5, 1814;"
HD1517,death,1882-?-?,1882-05-06,clean,"; d. May 6, 1882."
HD1518,birth,1820-?-?,1820-08-15,clean,"b. Aug 15, 1820;"
HD1519,birth,1823-?-?,1823-02-19,clean,"b. Feb 19, 1823;"
X00487,birth,1771-?-?,1771-03-08,clean,"b. Mar 8, 1771 N"
X00487,death,1847-?-?,1847-10-26,clean,"; d. Oct 26, 1847 N"
HD1521,birth,1797-?-?,1797-03-31,clean,"b. Mar 31, 1797 N"
HD1521,death,1878-?-?,1878-09-26,clean,"; d. Sep 26, 1878 C"
X00488,birth,1797-?-?,1797-02-24,clean,b. Feb 24 1797 N
X00488,death,1860-?-?,1860-04-28,clean,; d. Apr 28 1860.
HD1523,birth,1809-?-?,1809-04-05,clean,"b. Apr 5, 1809;"
HD1523,death,1849-?-?,1849-11-13,clean,"; d. Nov 13, 1849 a"
X00489,birth,1750-?-?,1750-07-12,clean,"b. Jul 12, 1750;"
HD1524,death,1866-?-?,1866-10-22,clean,"; d. Oct 22, 1866 R"
HD1525,birth,1825-?-?,1825-04-13,clean,"b. Apr 13, 1825 N"
HD1525,death,1905-?-?,1905-02-13,clean,"; d. Feb 13, 1905 B"
HD1526,death,1821-?-?,1821-01-10,clean,"; d. Jan 10, 1821 N"
HD1528,birth,1759-?-?,1759-03-13,clean,"b. Mar 13, 1759 N"
H00891,birth,1761-?-?,1761-04-30,clean,"b. Apr 30, 1761 N"
H00891,death,1842-?-?,1842-06-02,clean,"; d. Jun 2, 1842 W"
H00892,birth,1763-?-?,1763-11-29,clean,"b. Nov 29, 1763 ("
H00893,birth,1770-?-?,1770-01-16,clean,"b. Jan 16, 1770 N"
H00893,death,1770-?-?,1770-01-17,clean,"; d. Jan 17, 1770."
H00894,birth,1768-?-?,1768-01-09,clean,"b. Jan 9, 1768 N"
H00895,birth,1772-?-?,1772-02-10,clean,"b. Feb 10, 1772 N"
H00895,death,1772-?-?,1772-02-23,clean,"; d. Feb 23, 1772 a"
H00896,death,1773-?-?,1773-06-21,clean,"ied Jun 21, 1773."
X00492,birth,1755-?-?,1755-12-20,clean,"b. Dec 20, 1755 N"
X00492,death,1835-?-?,1835-09-14,clean,"; d. Sep 14, 1835 N"
HD1530,birth,1820-?-?,1820-10-16,clean,"b. Oct 16, 1820 C"
HD1530,death,1893-?-?,1893-01-13,clean,"; d. Jan 13, 1893 B"
X00494,birth,1744-?-?,1744-10-29,clean,"b. Oct 29, 1744 S"
X00494,death,1835-?-?,1835-04-15,clean,"; d. Apr 15, 1835 N"
H00976,birth,1768-?-?,1768-11-03,clean,"b. Nov 3, 1768 N"
H00976,death,1838-?-?,1838-08-11,clean,"; d. Aug 11, 1838 B"
X00495,birth,1783-?-?,1783-03-10,clean,"b. Mar 10, 1783 P"
X00495,death,1859-?-?,1859-11-07,clean,"; d. Nov 7, 1859 B"
HD1533,birth,1808-?-?,1808-08-08,clean,"b. Aug 8, 1808 B"
HD1533,death,1888-?-?,1888-03-28,clean,"; d. Mar 28, 1888 B"
HD1534,birth,1803-?-?,1803-10-03,clean,"b. Oct 3, 1803 N"
HD1534,death,1885-?-?,1885-12-20,clean,"; d. Dec 20, 1885 P"
HD1535,birth,1871-?-?,1871-09-07,clean,"b. Sep 7, 1871 C"
HD1535,death,1943-?-?,1943-03-15,clean,"; d. Mar 15, 1943 P"
HD1536,birth,1874-?-?,1874-07-02,clean,"b. Jul 2, 1874 C"
HD1536,death,1961-?-?,1961-09-28,clean,"; d. Sep 28, 1961 B"
X00496,birth,1819-?-?,1819-09-12,clean,"b. Sep 12, 1819 N"
X00496,death,1902-?-?,1902-01-02,clean,"; d. Jan 2, 1902 B"
HD1537,birth,1845-?-?,1845-12-09,clean,"b. Dec 9, 1845 B"
HD1537,death,1911-?-?,1911-11-04,clean,"; d. Nov 4, 1911 B"
X00499,birth,1826-?-?,1826-08-06,clean,"b. Aug 6, 1826;"
X00499,death,1897-?-?,1897-06-24,clean,"; d. Jun 24, 1897."
HD1550,birth,1773-?-?,1773-02-22,clean,"b. Feb 22, 1773 N"
HD1550,death,1773-?-?,1773-03-03,clean,"; d. Mar 3, 1773 a"
H00977,death,1772-?-?,1772-11-11,clean,"; d. Nov 11, 1772 a"
H00978,birth,1774-?-?,1774-04-03,clean,"b. Apr 3, 1774 N"
H00979,birth,1776-?-?,1776-09-20,clean,"b. Sep 20, 1776 N"
H00979,death,1859-?-?,1859-07-10,clean,"; d. Jul 10, 1859 a"
H00980,birth,1776-?-?,1776-09-20,clean,"b. Sep 20, 1776 N"
H00981,birth,1778-?-?,1778-04-03,clean,"b. Apr 3, 1778 N"
H00981,death,1852-?-?,1852-01-29,clean,"; d. Jan 29, 1852 a"
H00982,birth,1780-?-?,1780-08-08,clean,"b. Aug 8, 1780 N"
H00982,death,1836-?-?,1836-04-12,clean,"; d. Apr 12, 1836."
H00983,birth,1782-?-?,1782-10-18,clean,"b. Oct 18, 1782 N"
H00983,death,1803-?-?,1803-01-12,clean,"; d. Jan 12, 1803 a"
H00984,birth,1785-?-?,1785-12-18,clean,"b. Dec 18, 1785 N"
X00500,birth,1775-?-?,1775-02-24,clean,"b. Feb 24, 1775 S"
X00500,death,1831-?-?,1831-05-26,clean,"; d. May 26, 1831 N"
HD1551,birth,1803-?-?,1803-03-05,clean,"b. Mar 5, 1803 W"
HD1551,death,1895-?-?,1895-03-11,clean,"; d. Mar 11, 1895 N"
HD1553,birth,1809-?-?,1809-03-05,clean,"b. Mar 5, 1809 N"
HD1553,death,1813-?-?,1813-09-18,clean,"; d. Sep 18, 1813 a"
X00501,death,1799-?-?,1799-05-18,clean,"; d. May 18, 1799 N"
X00502,birth,1778-?-?,1778-06-06,clean,"b. Jun 6, 1778 U"
X00502,death,1819-?-?,1819-05-01,clean,"; d. May 1, 1819 N"
HD1555,birth,1797-?-?,1797-10-15,clean,"b. Oct 15, 1797 N"
HD1556,birth,1799-?-?,1799-11-25,clean,"b. Nov 25, 1799 N"
HD1556,death,1876-?-?,1876-04-15,clean,"; d. Apr 15, 1876 a"
HD1557,birth,1806-?-?,1806-10-24,clean,"b. Oct 24, 1806 N"
HD1557,death,1888-?-?,1888-07-30,clean,"; d. Jul 30, 1888 a"
HD1558,birth,1808-?-?,1808-06-12,clean,"b. Jun 12, 1808 N"
HD1558,death,1808-?-?,1808-08-09,clean,"; d. Aug 9, 1808."
HD1559,birth,1809-?-?,1809-09-08,clean,"b. Sep 8, 1809 N"
HD1560,birth,1811-?-?,1811-08-16,clean,"b. Aug 16, 1811 N"
HD1560,death,1884-?-?,1884-04-11,clean,"; d. Apr 11, 1884 a"
HD1561,birth,1813-?-?,1813-05-20,clean,"b. May 20, 1813 N"
HD1562,birth,1815-?-?,1815-03-04,clean,"b. Mar 4, 1815 N"
HD1562,death,1893-?-?,1893-04-16,clean,"; d. Apr 16, 1893 a"
HD1563,birth,1817-?-?,1817-04-02,clean,"b. Apr 2, 1817 N"
HD1563,death,1900-?-?,1900-03-31,clean,"; d. Mar 31, 1900 a"
HD1564,birth,1819-?-?,1819-03-28,clean,"b. Mar 28, 1819 N"
HD1565,birth,1823-?-?,1823-04-23,clean,"b. Apr 23, 1823 N"
X00504,birth,1818-?-?,1818-12-13,clean,"b. Dec 13, 1818;"
X00504,death,1898-?-?,1898-04-05,clean,"; d. Apr 5, 1898 N"
HD1577,birth,1859-?-?,1859-04-10,clean,"b. Apr 10, 1859 W"
HD1577,death,1936-?-?,1936-04-08,clean,"; d. Apr 8, 1936 P"
X00505,birth,1855-?-?,1855-01-22,clean,"b. Jan 22, 1855 R"
X00505,death,1918-?-?,1918-01-23,clean,"; d. Jan 23, 1918 S"
HD1578,birth,1881-?-?,1881-10-29,clean,"b. Oct 29, 1881 P"
HD1578,death,1945-?-?,1945-12-20,clean,"; d. Dec 20, 1945 W"
HD1580,birth,1911-?-?,1911-04-15,clean,"b. Apr 15, 1911;"
HD1580,death,1953-?-?,1953-05-28,clean,"; d. May 28, 1953."
HD1581,birth,1917-?-?,1917-02-18,clean,"b. Feb 18, 1917;"
HD1581,death,1944-?-?,1944-04-29,clean,"; d. Apr 29, 1944."
HD1582,birth,1918-?-?,1918-06-27,clean,"b. Jun 27, 1918;"
HD1582,death,1945-?-?,1945-03-27,clean,"; d. Mar 27, 1945 O"
HD1583,birth,1920-?-?,1920-04-10,clean,"b. Apr 10, 1920;"
X00508,birth,1800-?-?,1800-11-06,clean,"b. Nov 6, 1800 N"
X00508,death,1858-?-?,1858-09-24,clean,"; d. Sep 24, 1858 N"
X00509,birth,1807-?-?,1807-05-19,clean,"b. May 19, 1807 D"
X00509,death,1881-?-?,1881-08-26,clean,"; d. Aug 26, 1881 B"
X00510,birth,1819-?-?,1819-03-18,clean,"b. Mar 18, 1819 S"
X00510,death,1864-?-?,1864-01-20,clean,"; d. Jan 20, 1864 F"
X00511,birth,1809-?-?,1809-04-29,clean,"b. Apr 29, 1809 F"
X00511,death,1864-?-?,1864-09-06,clean,"; d. Sep 6, 1864 M"
X00512,birth,1818-?-?,1818-07-12,clean,"b. Jul 12, 1818 P"
X00512,death,1899-?-?,1899-07-25,clean,"; d. Jul 25, 1899 R"
HD1589,birth,1805-?-?,1805-03-17,clean,"b. Mar 17, 1805 B"
HD1589,death,1839-?-?,1839-05-16,clean,"; d. May 16, 1839 B"
HD1590,birth,1807-?-?,1807-02-28,clean,"b. Feb 28, 1807 B"
HD1590,death,1823-?-?,1823-08-17,clean,"; d. Aug 17, 1823 S"
HD1591,birth,1810-?-?,1810-02-10,clean,"b. Feb 10, 1810 B"
HD1591,death,1881-?-?,1881-04-17,clean,"; d. Apr 17, 1881 B"
HD1592,birth,1812-?-?,1812-07-06,clean,"b. Jul 6, 1812 B"
HD1592,death,1892-?-?,1892-09-21,clean,"; d. Sep 21, 1892 N"
HD1593,birth,1814-?-?,1814-03-07,clean,"b. Mar 7, 1814 B"
HD1593,death,1814-?-?,1814-10-27,clean,"; d. Oct 27, 1814."
HD1594,birth,1818-?-?,1818-07-17,clean,"b. Jul 17, 1818 B"
HD1594,death,1855-?-?,1855-07-06,clean,"; d. Jul 6, 1855 B"
HD1595,birth,1821-?-?,1821-06-18,clean,"b. Jun 18, 1821 B"
HD1595,death,1853-?-?,1853-02-17,clean,"; d. Feb 17, 1853 B"
HD1596,birth,1823-?-?,1823-06-07,clean,"b. Jun 7, 1823 B"
HD1596,death,1874-?-?,1874-03-25,clean,"; d. Mar 25, 1874 R"
HD1597,birth,1825-?-?,1825-03-14,clean,"b. Mar 14, 1825 B"
HD1597,death,1898-?-?,1898-10-02,clean,"; d. Oct 2, 1898 C"
HD1599,birth,1836-?-?,1836-08-17,clean,"b. Aug 17, 1836 B"
HD1599,death,1837-?-?,1837-09-29,clean,"; d. Sep 29, 1837 a"
HD1600,birth,1839-?-?,1839-04-27,clean,"b. Apr 27, 1839 B"
HD1601,birth,1839-?-?,1839-04-20,clean,"b. Apr 20, 1839 B"
HD1601,death,1839-?-?,1839-07-27,clean,"; d. Jul 27, 1839."
HD1602,birth,1842-?-?,1842-05-17,clean,"b. May 17, 1842 N"
HD1602,death,1913-?-?,1913-01-06,clean,"; d. Jan 6, 1913 N"
HD1603,birth,1846-?-?,1846-06-13,clean,"b. Jun 13, 1846;"
HD1603,death,1902-?-?,1902-10-17,clean,"; d. Oct 17, 1902 a"
HD1605,birth,1849-?-?,1849-02-20,clean,"b. Feb 20, 1849 B"
HD1605,death,1887-?-?,1887-04-01,clean,"; d. Apr 1, 1887 N"
HD1606,birth,1858-?-?,1858-09-14,clean,"b. Sep 14, 1858 B"
HD1606,death,1932-?-?,1932-08-12,clean,"; d. Aug 12, 1932 G"
X00525,birth,1806-?-?,1806-03-01,clean,"b. Mar 1, 1806 N"
X00525,death,1871-?-?,1871-12-10,clean,"; d. Dec 10, 1871 P"
X00514,birth,1833-?-?,1833-07-08,clean,"b. Jul 8, 1833 W"
X00514,death,1896-?-?,1896-01-02,clean,"; d. Jan 2, 1896 U"
HD1608,birth,1841-?-?,1841-10-04,clean,"b. Oct 4, 1841 N"
HD1608,death,1884-?-?,1884-09-27,clean,"; d. Sep 27, 1884 a"
HD1617,birth,1831-?-?,1831-07-14,clean,"b. Jul 14, 1831 P"
HD1617,death,1834-?-?,1834-12-10,clean,"; d. Dec 10, 1834 a"
HD1618,birth,1833-?-?,1833-07-31,clean,"b. Jul 31, 1833 N"
HD1619,birth,1835-?-?,1835-11-15,clean,"b. Nov 15, 1835 N"
HD1620,birth,1837-?-?,1837-09-28,clean,"b. Sep 28, 1837 P"
HD1620,death,1890-?-?,1890-10-14,clean,"; d. Oct 14, 1890 U"
HD1621,birth,1840-?-?,1840-05-20,clean,"b. May 20, 1840 P"
HD1621,death,1885-?-?,1885-09-11,clean,"; d. Sep 11, 1885 R"
HD1622,birth,1846-?-?,1846-02-26,clean,"b. Feb 26, 1846 P"
HD1622,death,1863-?-?,1863-09-06,clean,"; d. Sep 6, 1863 C"
HD1609,birth,1865-?-?,1865-08-29,clean,"b. Aug 29, 1865 C"
HD1609,death,1940-?-?,1940-10-13,clean,"; d. Oct 13, 1940 N"
HD1610,birth,1867-?-?,1867-04-08,clean,"b. Apr 8, 1867;"
HD1610,death,1938-?-?,1938-07-09,clean,"; d. Jul 9, 1938 a"
HD1611,birth,1868-?-?,1868-08-14,clean,"b. Aug 14, 1868 N"
HD1611,death,1911-?-?,1911-04-21,clean,"; d. Apr 21, 1911 U"
HD1613,birth,1873-?-?,1873-07-14,clean,"b. Jul 14, 1873 N"
HD1613,death,1947-?-?,1947-10-29,clean,"; d. Oct 29, 1947 U"
HD1614,birth,1876-?-?,1876-04-18,clean,"b. Apr 18, 1876 N"
HD1614,death,1962-?-?,1962-09-30,clean,"; d. Sep 30, 1962 B"
HD1615,birth,1878-?-?,1878-06-12,clean,"b. Jun 12, 1878 C"
HD1615,death,1948-?-?,1948-12-07,clean,"; d. Dec 7, 1948 C"
HD1616,birth,1883-?-?,1883-08-26,clean,"b. Aug 26, 1883 O"
HD1616,death,1956-?-?,1956-01-02,clean,"; d. Jan 2, 1956 U"
X00516,birth,1850-?-?,1850-07-18,clean,"b. Jul 18, 1850 N"
X00516,death,1879-?-?,1879-10-17,clean,"; d. Oct 17, 1879 M"
HD1623,birth,1842-?-?,1842-08-25,clean,"b. Aug 25, 1842 B"
HD1624,birth,1849-?-?,1849-09-03,clean,"b. Sep 3, 1849 R"
HD1624,death,1923-?-?,1923-09-25,clean,"; d. Sep 25, 1923 M"
HD1625,birth,1855-?-?,1855-07-16,clean,"b. Jul 16, 1855 B"
HD1625,death,1902-?-?,1902-01-06,clean,"; d. Jan 6, 1902 B"
HD1626,birth,1857-?-?,1857-09-14,clean,"b. Sep 14, 1857 N"
HD1626,death,1937-?-?,1937-02-08,clean,"; d. Feb 8, 1937 B"
HD1628,birth,1877-?-?,1877-03-19,clean,"b. Mar 19, 1877 N"
HD1628,death,1878-?-?,1878-01-06,clean,"; d. Jan 6, 1878 B"
X00517,birth,1846-?-?,1846-06-30,clean,"b. Jun 30, 1846 B"
X00517,death,1884-?-?,1884-12-30,clean,"; d. Dec 30, 1884 B"
HD1629,birth,1870-?-?,1870-09-23,clean,"b. Sep 23, 1870 I"
HD1629,death,1948-?-?,1948-06-08,clean,"; d. Jun 8, 1948 M"
HD1630,birth,1872-?-?,1872-04-15,clean,"b. Apr 15, 1872 B"
HD1630,death,1960-?-?,1960-01-03,clean,"; d. Jan 3, 1960 N"
HD1631,birth,1873-?-?,1873-09-07,clean,"b. Sep 7, 1873 B"
HD1631,death,1903-?-?,1903-03-03,clean,"; d. Mar 3, 1903 B"
HD1632,birth,1876-?-?,1876-08-22,clean,"b. Aug 22, 1876 L"
HD1633,birth,1882-?-?,1882-07-05,clean,"b. Jul 5, 1882 L"
HD1633,death,1950-?-?,1950-12-14,clean,"; d. Dec 14, 1950 N"
HD1634,birth,1884-?-?,1884-12-25,clean,"b. Dec 25, 1884 B"
HD1634,death,1956-?-?,1956-03-31,clean,"; d. Mar 31, 1956 N"
X00518,birth,1861-?-?,1861-01-07,clean,"b. Jan 7, 1861 B"
X00518,death,1916-?-?,1916-06-21,clean,"; d. Jun 21, 1916 P"
X00519,birth,1846-?-?,1846-10-09,clean,"b. Oct 9, 1846 G"
X00520,birth,1879-?-?,1879-05-18,clean,"b. May 18, 1879 S"
X00520,death,1960-?-?,1960-04-18,clean,"; d. Apr 18, 1960 N"
X00521,birth,1885-?-?,1885-08-02,clean,"b. Aug 2, 1885 N"
X00521,death,1973-?-?,1973-05-20,clean,"; d. May 20, 1973 P"
X00522,birth,1864-?-?,1864-09-04,clean,"b. Sep 4, 1864 B"
X00522,death,1930-?-?,1930-01-30,clean,"; d. Jan 30, 1930 W"
X00523,birth,1887-?-?,1887-07-14,clean,"b. Jul 14, 1887 M"
X00523,death,1960-?-?,1960-02-28,clean,"; d. Feb 28, 1960 R"
X00524,birth,1907-?-?,1907-11-30,clean,"b. Nov 30, 1907 S"
X00524,death,1994-?-?,1994-02-21,clean,"; d. Feb 21, 1994 M"
HD1635,birth,1897-?-?,1897-09-21,clean,"b. Sep 21, 1897 B"
HD1636,birth,1900-?-?,1900-10-20,clean,"b. Oct 20, 1900 N"
HD1637,birth,1905-?-?,1905-07-20,clean,"b. Jul 20, 1905 B"
